Wrkr_ID,Case_Number,Reg,Off,AcctType,PaymentRecord,Payor_Receiving_Fed_Benefits,Levy_Active,LISAN_Action,Contempt_Action,Number_Emps_Currently,Emp1_End_Date,Case_Years_Open,Payor_Current_Age,PayorGender,Self_Emp,PayorPrsnPast,Month35_CSMSDue,max_paid_times,max_stopped_times,stop_times,Mean_Paid_Percent,Month1_CSMSPaid,Month2_CSMSPaid,Month3_CSMSPaid,Month4_CSMSPaid,Month5_CSMSPaid,Month6_CSMSPaid,Month7_CSMSPaid,Month8_CSMSPaid,Month9_CSMSPaid,Month10_CSMSPaid,Month11_CSMSPaid,Month12_CSMSPaid,Month13_CSMSPaid,Month14_CSMSPaid,Month15_CSMSPaid,Month16_CSMSPaid,Month17_CSMSPaid,Month18_CSMSPaid,Month19_CSMSPaid,Month20_CSMSPaid,Month21_CSMSPaid,Month22_CSMSPaid,Month23_CSMSPaid,Month24_CSMSPaid,Month25_CSMSPaid,Month26_CSMSPaid,Month27_CSMSPaid,Month28_CSMSPaid,Month29_CSMSPaid,Month30_CSMSPaid,Month31_CSMSPaid,Month32_CSMSPaid,Month33_CSMSPaid,Month34_CSMSPaid,Month35_CSMSPaid
B6YD,270221,2,1,18,011100-000000-000000-000000, , ,SANC, ,1, ,27.01,47,1,0,1,50,3,20,2,0.099333333,0,0,0,0,0,0,0,0,0,0,0,0,50,41.52,27.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,469053,2,1,18,000000-000000-000011-100001, , , , ,1, ,5.15,41,1,0,1,181,3,16,2,0.073413904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.24,100.24,50.12,0,0,0,0,68.31
B6YD,536935,2,1,12,000001-000000-000000-000000, , ,SANC, ,0,9/29/2016,18.19,38,0,1,1,30,1,18,2,0.017305556,0,0,0,27,27,30,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,544309,2,1,18,110011-111111-011000-000001, , , , ,0,5/16/2017,3.22,32,1,0,0,50,8,8,3,0.410382979,0,0,50,50,50,50,27.68,50,50,50,50,50,13.84,0,0,30,30,30,50,30,30,30,30,0,30,30,0,0,0,0,0,0,0,0,1.92
B6YD,545748,2,1,18,111100-001111-110000-000001, , , , ,1, ,17.93,40,1,0,1,30,6,9,2,0.390972222,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,0,0,0,0,16.6,30,30,30,30,8.3,0,0,0,0,0,0,0,0,0,16.6
B6YD,556541,2,1,12,101111-111111-111100-000000, , ,SANC, ,0,5/24/2018,11.17,39,1,0,1,401,14,8,2,0.57207782,477,477,477,477,594,594,594,594,594,594,594,588.8,0,328.98,401,401,401,401,401,401,401,444.2,401,401,370.13,417.66,78.14,0,0,0,0,0,0,0,0
B6YD,572036,2,1,18,001111-101111-101000-111111, , , , ,1, ,17.15,55,1,0,1,428,6,3,4,0.542384151,395.04,395.04,428,428,428,523,423.29,287.83,0,0,0,0,0,428,247.04,319.06,397.1,428,0,314.91,205.47,141.29,167.61,262.73,0,428,0,0,0,355.56,237.04,428,355.56,428,428
B6YD,574569,2,1,12,000000-000000-000000-000110, , ,SRVY, ,0,2/26/2019,17.07,39,1,0,1,20,2,21,2,0.043666667,18.66,18.66,20,20,13.99,20,18.66,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,10.48,0
B6YD,583917,2,1,18,111010-000101-111100-111110, , , , ,1, ,16.83,38,1,0,0,30,5,4,5,0.119805556,30,30,30,30,30,20.98,16.6,20.48,30,0,0,10.09,19.42,8.03,0,9.01,0,0,0,0,0.03,0,0.11,0.14,0.14,5.34,5.11,0,0,5.16,6.77,5.48,5.97,5.46,0
B6YD,586612,2,1,12,011111-111111-100000-000000, , ,SANC, ,0,2/4/2019,16.73,50,1,0,1,50,12,11,2,0.400916667,0,0,0,0,0,0,0,0,0,0,0,0,30,50,39.69,36.23,50,50,48.97,22.24,26.28,50,50,27.69,0,0,0,0,0,0,0,0,0,0,0
B6YD,595974,2,1,18,111111-111000-000000-000000, , , , ,0,5/24/2018,16.47,38,1,0,1,30,9,15,1,0.375,30,30,20.32,10.03,24.26,29.82,12.29,18,30,20.73,0,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6YD,599342,2,1,18,000000-010001-101111-111110, , , , ,1, ,15.4,41,1,0,0,73,9,7,4,0.510886806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.63,0,0,0,40.43,40.43,0,60.63,40.42,73,73,73,40.43,73,73,60.63,0
B6YD,601323,2,1,12,111111-111100-000000-010000, , ,SANC, ,0,11/8/2018,15.21,44,1,0,1,70,10,9,2,0.361452381,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,38.76,19.38,70,38.76,0,0,0,0,0,0,0,0,0,20.34,0,0,0,0
B6YD,603046,2,1,12,000000-000000-011111-110100, , ,SRVY, ,0,11/15/2011,16.27,41,1,0,1,73,7,13,3,0.311965812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,73,73,73,73,0,73,0,0
B6YD,608010,2,1,18,000000-000111-111111-111110, , , , ,2,2/28/2019,16.13,37,1,0,1,210,14,9,2,0.549418651,210,210,210,210,210,210,210,116.3,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210,210,210,210,210,210,210,210,210,210,210,39.07,0
B6YD,615650,2,1,18,010111-111111-110000-000000, , , , ,1, ,15.91,44,1,0,1,80,11,10,3,0.445364583,22.15,80,80,80,80,80,0,0,0,0,0,0,41.49,0,44.3,80,80,80,80,80,80,80,49.31,80,80,0,0,0,0,0,0,0,0,0,0
B6YD,615739,2,1,18,001000-010111-100001-000000, , , , ,0,4/12/2018,15.9,38,1,1,1,110,4,6,5,0.48855303,101.52,0,0,0,0,0,0,110,0,0,0,0,0,337,0,0,0,0,110,0,110,110,25.38,110,0,0,0,0,487.4,0,0,0,0,0,0
B6YD,636828,2,1,18,101111-111101-010010-010000, , , , ,0,7/10/2013,15.34,43,1,1,1,145,8,4,6,0.635526316,185,130,0,185,0,0,165,0,165,0,0,165,0,165,165,165,165,165,165,165,330,0,165,0,165,0,0,145,0,0,290,0,0,0,0
